yali1,yali0,ec,n_mnxr,n_balanced_mnxr,rep_mnxr,mnxr_unique,rep_balanced,priority_pathway,pathways,tier,note
YALI1_B26639g,YALI0B20328g,2.3.1.36,3,1,MNXR108513,no,yes,no,00470;01100,T3_ambiguous,EC->3 MNXR (1 balanced)
YALI1_B26728g,YALI0B20416g,1.8.5.1;2.5.1.18,90,54,MNXR104634,no,yes,no,00480,T3_ambiguous,EC->90 MNXR (54 balanced)
YALI1_C03495g,YALI0C02475g,2.4.1.260,4,2,MNXR197051,no,yes,no,00510;00513;01100,T3_ambiguous,EC->4 MNXR (2 balanced)
YALI1_C04143g,YALI0C03069g,2.5.1.18,87,52,MNXR104634,no,yes,no,00480;01100,T3_ambiguous,EC->87 MNXR (52 balanced)
YALI1_C13261g,YALI0C09570g,5.1.3.3,11,11,MNXR107082,no,yes,no,00010;00052;01100;01110,T3_ambiguous,EC->11 MNXR (11 balanced)
YALI1_C14884g,YALI0C10604g,1.14.11.8,2,1,MNXR104899,no,yes,no,00310;01100,T3_ambiguous,EC->2 MNXR (1 balanced)
YALI1_C18011g,YALI0C12918g,4.4.1.17,7,4,MNXR115964,no,yes,no,00860;01100,T3_ambiguous,EC->7 MNXR (4 balanced)
YALI1_C26167g,YALI0C19041g,2.8.1.7,18,9,MNXR111094,no,yes,no,00730;01100;01240,T3_ambiguous,EC->18 MNXR (9 balanced)
YALI1_C26959g,YALI0C19646g,1.6.5.2,117,78,MNXR101871,no,yes,no,00130;01100;01110;01240,T3_ambiguous,EC->117 MNXR (78 balanced)
YALI1_C26975g,YALI0C19668g,1.6.5.2,117,78,MNXR101871,no,yes,no,00130;01100;01110;01240,T3_ambiguous,EC->117 MNXR (78 balanced)
YALI1_C29066g,YALI0C21021g,2.5.1.18,87,52,MNXR104634,no,yes,no,00480;01100,T3_ambiguous,EC->87 MNXR (52 balanced)
YALI1_C31830g,YALI0C23034g,2.3.1.286,7,5,MNXR113957,no,yes,no,00760;01100,T3_ambiguous,EC->7 MNXR (5 balanced)
YALI1_C31918g,YALI0C23122g,3.7.1.5,8,2,MNXR153629,no,yes,no,00350;01100,T3_ambiguous,EC->8 MNXR (2 balanced)
YALI1_D05375g,YALI0D04312g,1.1.99.2,10,5,MNXR111769,no,yes,no,00650;01100,T3_ambiguous,EC->10 MNXR (5 balanced)
YALI1_D09055g,YALI0D07084g,5.1.3.15,2,2,MNXR153713,no,yes,no,00010;01100;01110,T3_ambiguous,EC->2 MNXR (2 balanced)
YALI1_D09215g,YALI0D07238g,2.1.1.22,2,2,MNXR197833,no,yes,no,00340;01100,T3_ambiguous,EC->2 MNXR (2 balanced)
YALI1_D14489g,YALI0D11660g,4.2.1.70,2,2,MNXR198505,no,yes,no,00240;01100,T3_ambiguous,EC->2 MNXR (2 balanced)
YALI1_D18408g,YALI0D15114g,2.7.1.47,3,3,MNXR197754,no,yes,no,00040;01100,T3_ambiguous,EC->3 MNXR (3 balanced)
YALI1_D19039g,YALI0D15532g,4.3.1.18,5,3,MNXR104338,no,yes,no,00260;00470;01100,T3_ambiguous,EC->5 MNXR (3 balanced)
YALI1_D20651g,YALI0D16687g,2.3.1.286;2.3.1.313,10,6,MNXR113957,no,yes,no,00760;01100,T3_ambiguous,EC->10 MNXR (6 balanced)
YALI1_D20985g,YALI0D17028g,2.4.1.267,4,2,MNXR197055,no,yes,no,00510;01100,T3_ambiguous,EC->4 MNXR (2 balanced)
YALI1_D21424g,YALI0D17424g,3.2.1.209,4,1,MNXR184850,no,yes,no,00510;00513;01100,T3_ambiguous,EC->4 MNXR (1 balanced)
YALI1_D24054g,YALI0D18964g,1.1.1.289,2,2,MNXR111009,no,yes,no,00051;01100,T3_ambiguous,EC->2 MNXR (2 balanced)
YALI1_D25472g,YALI0D20174g,3.2.1.113,17,10,MNXR174315,no,yes,no,00510;00513;01100,T3_ambiguous,EC->17 MNXR (10 balanced)
YALI1_D27385g,YALI0D21684g,2.1.1.354,5,4,MNXR145480,no,yes,no,00310;01100,T3_ambiguous,EC->5 MNXR (4 balanced)
YALI1_D27637g,YALI0D21890g,3.2.1.24,10,2,MNXR184404,no,yes,no,00511,T3_ambiguous,EC->10 MNXR (2 balanced)
YALI1_D33504g,YALI0D25256g,1.1.1.26,3,3,MNXR100325,no,yes,no,00630;01100;01110,T3_ambiguous,EC->3 MNXR (3 balanced)
