scenario	chemistry	demand_metabolite	maximum_type	maximum_demand	biomass_at_maximum_demand	R385_flux	maximum_demand_with_R385_closed	scenario_fingerprint
Q1_legacy_Q6_demand	legacy_q6	m471[C_mi]	zero_growth_stoichiometric_reachability_maximum	0.9344964993058806	0.0	0.9344964993058806	0.0	f055b6fbc999ebf18a9673b7ee85d396169e463f5b25540596f074303a09e575
Q1b_balanced_Q6_demand	oxidized_q6_variant	m468[C_mi]	zero_growth_stoichiometric_reachability_maximum	0.9342803307888055	0.0	0.9342803307888057	0.0	8428ac110a10c1191f612543b59e72ca3d36f9127fff979ce2dcfdac7bc01ca9
Q2_balanced_Q9_demand	q9	m468[C_mi]	zero_growth_stoichiometric_reachability_maximum	0.6734857211939289	0.0	0.6734857211939294	0.0	5e7179d9d77c96c12bf25dd0017ffd061a4c0415c36c2ccc8b76efe13e17dbaa
