met_id,met_name,compartment,formula,charge,has_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_chebi,has_hmdb,has_inchikey,has_pubchem,has_seed,has_formula,has_charge,n_reactions,base_name,same_base_annotated,annotated_twin_id
m1072[C_ex],L-glutamate_C5H9NO4,C_ex,C5H9NO4,-1,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-glutamate,True,m29[C_mi]
m1073[C_va],L-glutamine_C5H10N2O3,C_va,C5H10N2O3,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-glutamine,True,m130[C_cy]
m1074[C_ex],L-glutamine_C5H10N2O3,C_ex,C5H10N2O3,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-glutamine,True,m130[C_cy]
m1075[C_ex],L-histidine_C6H9N3O2,C_ex,C6H9N3O2,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-histidine,True,m615[C_cy]
m1076[C_va],L-isoleucine_C6H13NO2,C_va,C6H13NO2,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-isoleucine,True,m743[C_cy]
m1077[C_ex],L-isoleucine_C6H13NO2,C_ex,C6H13NO2,0,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-isoleucine,True,m743[C_cy]
m1078[C_mi],(S)-lactate_C3H6O3,C_mi,C3H6O3,-1,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,(S)-lactate,True,m7[C_cy]
m1079[C_ex],(S)-lactate_C3H6O3,C_ex,C3H6O3,-1,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,keggC,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,(S)-lactate,True,m7[C_cy]
m1080[C_va],L-leucine_C6H13NO2,C_va,C6H13NO2,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-leucine,True,m775[C_cy]
m1081[C_ex],L-leucine_C6H13NO2,C_ex,C6H13NO2,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,lipidmaps,lipidmapsM,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-leucine,True,m775[C_cy]
m1082[C_ex],L-lysine_C6H14N2O2,C_ex,C6H14N2O2,1,True,"bigg.metabolite,biggM,chebi,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-lysine,True,m793[C_cy]
m1083[C_ex],L-methionine_C5H11NO2S,C_ex,C5H11NO2S,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-methionine,True,m74[C_cy]
m1084[C_ex],L-phenylalanine_C9H11NO2,C_ex,C9H11NO2,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-phenylalanine,True,m859[C_cy]
m1085[C_ex],L-proline_C5H9NO2,C_ex,C5H9NO2,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-proline,True,m765[C_cy]
m1086[C_ex],L-serine_C3H7NO3,C_ex,C3H7NO3,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-serine,True,m441[C_cy]
m1087[C_ex],L-threonine_C4H9NO3,C_ex,C4H9NO3,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-threonine,True,m770[C_cy]
m1088[C_ex],L-tryptophan_C11H12N2O2,C_ex,C11H12N2O2,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-tryptophan,True,m772[C_cy]
m1089[C_va],L-tyrosine_C9H11NO3,C_va,C9H11NO3,0,True,"bigg.metabolite,biggM,chebi,envipath,envipathM,hmdb,inchi,inchikey,kegg.compound,kegg.drug,keggC,keggD,metacyc.compound,metacycM,metanetx.chemical,reactome,reactomeM,sabiork.compound,sabiorkM,seed.compound,seedM,vmhM,vmhmetabolite",True,True,True,True,True,True,False,True,True,True,2,L-tyrosine,True,m992[C_cy]
