rxn_id,rxn_name,rxn_type,root_cause,detail,has_gpr,lb,ub,compartments,n_orphan_mets,n_deadend_mets,orphan_mets,deadend_mets,reaction_str
R1720,DAG kinase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_em,0,0,,,m1649[C_em] + m376[C_em] --> m1600[C_em] + m377[C_em] + m378[C_em]
R1725,choline/ethanolaminephosphotransferase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_em,0,0,,,m1602[C_em] + m1649[C_em] --> m1601[C_em] + m1633[C_em] + m377[C_em]
R1726,cholinephosphotransferase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_em,0,0,,,m1603[C_em] + m1649[C_em] --> m1601[C_em] + m1632[C_em] + m377[C_em]
R1772,diacylglycerol acyltransferase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_em,0,0,,,m1649[C_em] + m567[C_em] --> m1634[C_em] + m233[C_em]
R1775,diacylglycerol pyrophosphate phosphatase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_gm,0,1,,m1704[C_gm],m1619[C_gm] + m1688[C_gm] --> m1620[C_gm] + m1704[C_gm]
R1795,"diglyceride transport, ER membrane-Golgi membrane",transport,bound_zero,lb==ub==0,False,0.0,0.0,"C_em,C_gm",0,1,,m1704[C_gm],m1649[C_em] --> m1704[C_gm]
R1815,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1325[C_go] + m1679[C_gm] --> m1312[C_go] + m1704[C_gm]
R1816,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1330[C_go] + m1679[C_gm] --> m1317[C_go] + m1704[C_gm]
R1817,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1327[C_go] + m1679[C_gm] --> m1314[C_go] + m1704[C_gm]
R1818,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1332[C_go] + m1679[C_gm] --> m1319[C_go] + m1704[C_gm]
R1819,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1326[C_go] + m1679[C_gm] --> m1313[C_go] + m1704[C_gm]
R1820,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1331[C_go] + m1679[C_gm] --> m1318[C_go] + m1704[C_gm]
R1821,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1328[C_go] + m1679[C_gm] --> m1315[C_go] + m1704[C_gm]
R1822,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1333[C_go] + m1679[C_gm] --> m1320[C_go] + m1704[C_gm]
R1823,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1329[C_go] + m1679[C_gm] --> m1316[C_go] + m1704[C_gm]
R1824,inositolphosphotransferase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,1,,m1704[C_gm],m1334[C_go] + m1679[C_gm] --> m1321[C_go] + m1704[C_gm]
R1825,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1707[C_go],m1033[C_go] + m1679[C_gm] --> m1704[C_gm] + m1707[C_go]
R1826,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1708[C_go],m1034[C_go] + m1679[C_gm] --> m1704[C_gm] + m1708[C_go]
R1827,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1709[C_go],m1035[C_go] + m1679[C_gm] --> m1704[C_gm] + m1709[C_go]
R1828,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1710[C_go],m1036[C_go] + m1679[C_gm] --> m1704[C_gm] + m1710[C_go]
R1829,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1711[C_go],m1179[C_go] + m1679[C_gm] --> m1704[C_gm] + m1711[C_go]
R1830,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1712[C_go],m1182[C_go] + m1679[C_gm] --> m1704[C_gm] + m1712[C_go]
R1831,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1713[C_go],m1180[C_go] + m1679[C_gm] --> m1704[C_gm] + m1713[C_go]
R1832,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1714[C_go],m1183[C_go] + m1679[C_gm] --> m1704[C_gm] + m1714[C_go]
R1833,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1715[C_go],m1181[C_go] + m1679[C_gm] --> m1704[C_gm] + m1715[C_go]
R1834,IPC synthase,transport,bound_zero,lb==ub==0,True,0.0,0.0,"C_gm,C_go",0,2,,m1704[C_gm];m1716[C_go],m1184[C_go] + m1679[C_gm] --> m1704[C_gm] + m1716[C_go]
R1843,1-acyl-sn-gylcerol-3-phosphate acyltransferase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_em,0,0,,,m567[C_em] + m575[C_em] --> m233[C_em] + m378[C_em]
R1899,O-succinylhomoserine lyase (elimination),metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_cy,0,0,,,m32[C_cy] + m849[C_cy] --> m38[C_cy] + m442[C_cy] + m541[C_cy]
R1950,dihydrofolate:NADP+ oxidoreductase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_cy,0,0,,,5.0 m10[C_cy] + m41[C_cy] + m478[C_cy] --> m40[C_cy] + m479[C_cy]
R1951,dihydrofolate:NADP+ oxidoreductase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_mi,0,0,,,m178[C_mi] + 5.0 m28[C_mi] + m480[C_mi] --> m126[C_mi] + m176[C_mi]
R26,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_cy,0,1,,m81[C_cy],m80[C_cy] --> m81[C_cy] + m82[C_cy]
R352,glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase,metabolic,bound_zero,lb==ub==0,True,0.0,0.0,C_em,0,0,,,m567[C_em] + m574[C_em] --> m233[C_em] + m575[C_em]
