reaction_id,reaction_name,reaction_type,has_annotation,has_real_annotation,annotation_keys,has_bigg,has_kegg,has_metanetx,has_rhea,has_ec,has_sbo,has_gpr,n_genes,gene_has_ec,gene_ec_codes,gene_has_uniprot,n_metabolites,met_mnxm_coverage,met_all_have_mnxm,compartments,is_blocked
R2153,mannosylinositol phosphorylceramide B (C24)_C54H106NO17P transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_er",True
R2154,"Inositol phosphoryceramide synthase (ceramide-2, 26C), yeast-specific",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,True,1.14.19.17,True,4,1.0,True,C_cy,True
R2155,"mannose-inositol phosphorylceramide synthase (ceramide-2, 26C), yeast-specific",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,2,False,,True,5,1.0,True,C_cy,True
R2156,mannosylinositol phosphorylceramide B (C26)_C56H110NO17P transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_er",True
R2157,"Inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,True,1.14.19.17,True,4,1.0,True,C_cy,True
R2158,Ceramide-3 (Phytosphingosine:n-C24:0OH) trasnport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,0.5,False,"C_cy,C_er",True
R2159,"mannose-inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,2,False,,True,5,1.0,True,C_cy,True
R2160,mannosylinositol phosphorylceramide C (C24)_C54H106NO18P transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_er",True
R2161,"Inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,True,1.14.19.17,True,4,1.0,True,C_cy,True
R2162,"mannose-inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,2,False,,True,5,1.0,True,C_cy,True
R2163,mannosylinositol phosphorylceramide C (C26)_C56H110NO18P transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_er",True
R2164,Ceramide-3 (Phytosphingosine:n-C26:0OH)transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,0.5,False,"C_cy,C_er",True
R2165,Triacyglycerol synthesis,metabolic,False,False,,False,False,False,False,False,False,True,1,False,,True,11,1.0,True,C_cy,True
R2166,Hexadecenoyl-CoA transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_pe",True
R2167,Decanoyl-CoA transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_mm",True
R2168,"acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase",metabolic,True,True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,True,1,False,,True,4,1.0,True,C_er,False
R2169,"1,2-Diacyl-sn-glycerol transport",transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_er",False
R2170,Triacylglycerol transport,transport,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_er",False
R2171,1-Phosphatidyl-D-myo-inositol inositolphosphohydrolase,metabolic,True,True,"kegg.reaction,keggr,metanetx.reaction",False,True,True,False,False,False,True,1,False,,True,5,1.0,True,C_cy,False
R2172,Glycolate:oxygen 2-oxidoreductase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,False,,True,4,1.0,True,C_cy,True
R2173,Glycolate:oxygen 2-oxidoreductase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,False,,True,4,0.75,False,C_pe,True
R2174,Glycolate transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_pe",True
R2175,Glycolate transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,0.5,False,"C_cy,C_pe",True
R2176,L-Citrulline:L-aspartate ligase (AMP-forming),metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr",True,True,True,True,False,False,True,1,False,,True,7,1.0,True,C_cy,False
R2177,Dolichyl-diphosphate phosphohydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,1,True,3.6.1.43,True,5,1.0,True,C_cy,True
R2178,NO NAME,metabolic,False,False,,False,False,False,False,False,False,False,0,False,,False,5,1.0,True,C_cy,True
R2179,Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase,metabolic,True,True,"kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,seed.reaction,seedr,vmhr,vmhreaction",False,True,True,True,False,False,True,2,True,2.5.1.1|2.5.1.10,True,4,0.75,False,C_cy,True
R2180,"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate cistransferase (adding 10-55 isopentenyl units)",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,2,True,2.5.1.-,True,5,0.8,False,C_cy,True
R2181,Dolichyl-diphosphate phosphohydrolase,metabolic,True,True,"bigg.reaction,biggr,metanetx.reaction",True,False,True,False,False,False,True,1,True,3.6.1.43,True,5,1.0,True,C_er,True
R2182,Dolichyl diphosphate transport,transport,False,False,,False,False,False,False,False,False,False,0,False,,False,2,1.0,True,"C_cy,C_er",True
R2183,Agmatine amidinohydrolase,metabolic,True,True,"bigg.reaction,biggr,kegg.reaction,keggr,metacyc.reaction,metacycr,metanetx.reaction,rh,rhea,sabiork.reaction,sabiorkr,seed.reaction,seedr,vmhr,vmhreaction",True,True,True,True,False,False,True,1,False,,False,4,1.0,True,C_cy,True
R2184,"1,4-alpha-D-Glucan glucohydrolase",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,True,3.2.1.3,True,3,1.0,True,C_cy,False
R2185,"1,4-alpha-D-Glucan:1,4-alpha-D-glucan 6-alpha-D-(1,4-alpha-D-glucano)-transferase",metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,True,2.4.1.18,True,3,1.0,True,C_cy,False
R2186,UDP-glucose:glycogen 4-alpha-D-glucosyltransferase,metabolic,True,True,"metanetx.reaction,seed.reaction,seedr",False,False,True,False,False,False,True,1,True,2.4.1.11,True,5,1.0,True,C_cy,False
