layer,n_chains,combination,member_chains,prob,cumulative_coverage,verdict
tri,3,palmitoleoyl+palmitoyl+palmitoyl,palmitoleoyl-CoA;palmitoyl-CoA;palmitoyl-CoA,0.00835765,0.9424,keep
tri,3,linoleoyl+linoleoyl+linoleoyl,linoleoyl-CoA;linoleoyl-CoA;linoleoyl-CoA,0.00706522,0.9494,keep
tri,3,palmitoyl+palmitoyl+palmitoyl,palmitoyl-CoA;palmitoyl-CoA;palmitoyl-CoA,0.00614932,0.9556,keep
tri,3,linoleoyl+linoleoyl+stearoyl,linoleoyl-CoA;linoleoyl-CoA;stearoyl-CoA,0.00447346,0.9600,keep
tri,3,palmitoyl+palmitoyl+stearoyl,palmitoyl-CoA;palmitoyl-CoA;stearoyl-CoA,0.00407797,0.9641,keep
tri,3,linoleoyl+palmitoleoyl+palmitoleoyl,linoleoyl-CoA;palmitoleoyl-CoA;palmitoleoyl-CoA,0.0039657,0.9681,keep
tri,3,linoleoyl+palmitoleoyl+stearoyl,linoleoyl-CoA;palmitoleoyl-CoA;stearoyl-CoA,0.00386999,0.9720,keep
tri,3,palmitoleoyl+palmitoleoyl+palmitoyl,palmitoleoyl-CoA;palmitoleoyl-CoA;palmitoyl-CoA,0.00378634,0.9757,keep
tri,3,palmitoleoyl+palmitoyl+stearoyl,palmitoleoyl-CoA;palmitoyl-CoA;stearoyl-CoA,0.00369496,0.9794,keep
tri,3,oleoyl+stearoyl+stearoyl,oleoyl-CoA;stearoyl-CoA;stearoyl-CoA,0.00244339,0.9819,keep
tri,3,lauroyl+oleoyl+oleoyl,lauroyl-CoA;oleoyl-CoA;oleoyl-CoA,0.00214005,0.9840,keep
tri,3,lauroyl+linoleoyl+oleoyl,lauroyl-CoA;linoleoyl-CoA;oleoyl-CoA,0.00165386,0.9857,keep
tri,3,lauroyl+oleoyl+palmitoyl,lauroyl-CoA;oleoyl-CoA;palmitoyl-CoA,0.00157906,0.9872,keep
tri,3,myristoyl+oleoyl+oleoyl,myristoyl-CoA;oleoyl-CoA;oleoyl-CoA,0.0014267,0.9887,keep
tri,3,linoleoyl+myristoyl+oleoyl,linoleoyl-CoA;myristoyl-CoA;oleoyl-CoA,0.00110257,0.9898,keep
tri,3,myristoyl+oleoyl+palmitoyl,myristoyl-CoA;oleoyl-CoA;palmitoyl-CoA,0.00105271,0.9908,keep
tri,3,linoleoyl+stearoyl+stearoyl,linoleoyl-CoA;stearoyl-CoA;stearoyl-CoA,0.000944146,0.9918,dead
tri,3,palmitoyl+stearoyl+stearoyl,palmitoyl-CoA;stearoyl-CoA;stearoyl-CoA,0.000901446,0.9927,dead
tri,3,palmitoleoyl+palmitoleoyl+stearoyl,palmitoleoyl-CoA;palmitoleoyl-CoA;stearoyl-CoA,0.000836981,0.9935,dead
tri,3,lauroyl+oleoyl+palmitoleoyl,lauroyl-CoA;oleoyl-CoA;palmitoleoyl-CoA,0.000715378,0.9942,dead
tri,3,lauroyl+linoleoyl+palmitoyl,lauroyl-CoA;linoleoyl-CoA;palmitoyl-CoA,0.000610163,0.9948,dead
tri,3,palmitoleoyl+palmitoleoyl+palmitoleoyl,palmitoleoyl-CoA;palmitoleoyl-CoA;palmitoleoyl-CoA,0.000571787,0.9954,dead
tri,3,myristoyl+oleoyl+palmitoleoyl,myristoyl-CoA;oleoyl-CoA;palmitoleoyl-CoA,0.000476919,0.9959,dead
tri,3,palmitoleoyl+stearoyl+stearoyl,palmitoleoyl-CoA;stearoyl-CoA;stearoyl-CoA,0.00040839,0.9963,dead
tri,3,linoleoyl+myristoyl+palmitoyl,linoleoyl-CoA;myristoyl-CoA;palmitoyl-CoA,0.000406775,0.9967,dead
tri,3,lauroyl+oleoyl+stearoyl,lauroyl-CoA;oleoyl-CoA;stearoyl-CoA,0.000349056,0.9971,dead
tri,3,lauroyl+linoleoyl+linoleoyl,lauroyl-CoA;linoleoyl-CoA;linoleoyl-CoA,0.000319533,0.9974,dead
tri,3,lauroyl+palmitoyl+palmitoyl,lauroyl-CoA;palmitoyl-CoA;palmitoyl-CoA,0.000291284,0.9977,dead
tri,3,lauroyl+linoleoyl+palmitoleoyl,lauroyl-CoA;linoleoyl-CoA;palmitoleoyl-CoA,0.000276428,0.9979,dead
tri,3,lauroyl+palmitoleoyl+palmitoyl,lauroyl-CoA;palmitoleoyl-CoA;palmitoyl-CoA,0.000263926,0.9982,dead
tri,3,myristoyl+oleoyl+stearoyl,myristoyl-CoA;oleoyl-CoA;stearoyl-CoA,0.000232704,0.9984,dead
tri,3,linoleoyl+linoleoyl+myristoyl,linoleoyl-CoA;linoleoyl-CoA;myristoyl-CoA,0.000213022,0.9986,dead
tri,3,myristoyl+palmitoyl+palmitoyl,myristoyl-CoA;palmitoyl-CoA;palmitoyl-CoA,0.000194189,0.9988,dead
tri,3,linoleoyl+myristoyl+palmitoleoyl,linoleoyl-CoA;myristoyl-CoA;palmitoleoyl-CoA,0.000184285,0.9990,dead
tri,3,myristoyl+palmitoleoyl+palmitoyl,myristoyl-CoA;palmitoleoyl-CoA;palmitoyl-CoA,0.000175951,0.9992,dead
