reaction_id,reaction_name,type,n_metabolites,compartments,gene_reaction_rule,metabolite_mnxm_ids,metabolite_bigg_ids
R1827,IPC synthase,transport,4,"C_gm,C_go",YALI1E19647g,"—,MNXM1364164,MNXM1509522,—","—,—,—,—"
R1828,IPC synthase,transport,4,"C_gm,C_go",YALI1E19647g,"—,MNXM1364164,MNXM1509522,—","—,—,—,—"
R1829,IPC synthase,transport,4,"C_gm,C_go",YALI1E19647g,"MNXM1513336,MNXM1364164,MNXM1509522,—","—,—,—,—"
R1830,IPC synthase,transport,4,"C_gm,C_go",YALI1E19647g,"MNXM1513336,MNXM1364164,MNXM1509522,—","—,—,—,—"
R1831,IPC synthase,transport,4,"C_gm,C_go",YALI1E19647g,"—,MNXM1364164,MNXM1509522,—","—,—,—,—"
R1832,IPC synthase,transport,4,"C_gm,C_go",YALI1E19647g,"—,MNXM1364164,MNXM1509522,—","—,—,—,—"
R1833,IPC synthase,transport,4,"C_gm,C_go",YALI1E19647g,"—,MNXM1364164,MNXM1509522,—","—,—,—,—"
R1834,IPC synthase,transport,4,"C_gm,C_go",YALI1E19647g,"—,MNXM1364164,MNXM1509522,—","—,—,—,—"
R1843,1-acyl-sn-gylcerol-3-phosphate acyltransferase,has_GPR,4,C_em,YALI1E22736g or YALI1F25951g,"MNXM1136895,MNXM1091645,MNXM1094981,MNXM1093594","—,1ag3p,—,pa_LM"
xLIPID,Lipids pool,transport,12,"C_cy,C_em,C_lp,C_mm",,"MNXM741449,MNXM52467,MNXM52466,MNXM1371412,MNXM1564104,MNXM739606,MNXM1364164,MNXM1563931,MNXM1093921,MNXM1093823,MNXM1093594,MNXM96591","ergst,—,—,—,—,—,—,—,pe_LM,pc_TB,pa_LM,—"
xMAINTENANCE,Non-growth associated maintenance (NGAM),no_GPR,4,C_cy,,"MNXM3,WATER,MNXM9,MNXM40333","atp,h2o,pi,adp"
xPOOL_AC_EM,Acyl-CoAs pool,no_GPR,7,C_em,,"MNXM1511591,MNXM734853,MNXM1093407,MNXM1093693,MNXM1094143,MNXM1104352,MNXM1136895","—,—,myrstcoa,palmcoa,srcoa,ocdccoa,—"
xPOOL_AC_LP,Acyl-CoAs pool,no_GPR,7,C_lp,,"MNXM734853,MNXM1093407,MNXM1093693,MNXM1094143,MNXM1511591,MNXM1104352,MNXM1136895","—,myrstcoa,palmcoa,srcoa,—,ocdccoa,—"
xPOOL_AC_MM,Acyl-CoAs pool,no_GPR,7,C_mm,,"MNXM1511591,MNXM734853,MNXM1093407,MNXM1093693,MNXM1094143,MNXM1104352,MNXM1136895","—,—,myrstcoa,palmcoa,srcoa,ocdccoa,—"
xPOOL_FA_EM,Fatty acids pool,no_GPR,7,C_em,,"MNXM100679,MNXM100009,MNXM100228,MNXM100233,MNXM100005,MNXM100135,MNXM739606","—,—,—,—,—,—,—"
xPOOL_FA_EN,Fatty acids pool,no_GPR,7,C_en,,"MNXM100005,MNXM100228,MNXM100233,MNXM100679,MNXM100009,MNXM100135,MNXM739606","—,—,—,—,—,—,—"
xPOOL_FA_LP,Fatty acids pool,no_GPR,7,C_lp,,"MNXM100679,MNXM100009,MNXM100228,MNXM100233,MNXM100005,MNXM100135,MNXM739606","—,—,—,—,—,—,—"
xPOOL_FA_MI,Fatty acids pool,no_GPR,7,C_mi,,"MNXM100679,MNXM100009,MNXM100228,MNXM100233,MNXM100005,MNXM100135,MNXM739606","—,—,—,—,—,—,—"
xPOOL_FA_MM,Fatty acids pool,no_GPR,7,C_mm,,"MNXM100228,MNXM100233,MNXM100679,MNXM100009,MNXM100005,MNXM100135,MNXM739606","—,—,—,—,—,—,—"
R1861,decane transport e--c,transport,2,"C_cy,C_ex",YALI1B03910g or YALI1C28310g,"MNXM724551,MNXM724551","—,—"
R1862,hexadecane transport e--c,transport,2,"C_cy,C_ex",YALI1B03910g or YALI1C28310g,"MNXM724803,MNXM724803","—,—"
R1863,alkane oxidase (C10),has_GPR,7,C_cy,YALI1E30815g or YALI1B18311g,"MNXM1,MNXM738702,MNXM735438,MNXM724551,WATER,MNXM5,MNXM1564569","h,nadph,o2,—,h2o,nadp,—"
R1865,alkane oxidase (C12),has_GPR,7,C_cy,YALI1B02833g or YALI1B18311g,"MNXM1,MNXM738702,MNXM735438,MNXM724619,WATER,MNXM5,MNXM51467","h,nadph,o2,—,h2o,nadp,—"
R1867,alkane oxidase (C16),has_GPR,7,C_cy,YALI1B02833g or YALI1B18311g or YALI1F02132g,"MNXM1,MNXM738702,MNXM735438,MNXM724803,WATER,MNXM5,MNXM1564591","h,nadph,o2,—,h2o,nadp,—"
R1870,"fatty-acid--CoA ligase (octadecadienoate), ER membrane",has_GPR,6,C_em,YALI1D22124g,"MNXM1094981,MNXM3,MNXM100135,MNXM11,MNXM728294,MNXM1104352","—,atp,—,ppi,amp,ocdccoa"
R1871,"fatty-acid--CoA ligase (octadecadienoate), lipid particle",has_GPR,6,C_lp,YALI1D22124g,"MNXM1094981,MNXM3,MNXM100135,MNXM11,MNXM728294,MNXM1104352","—,atp,—,ppi,amp,ocdccoa"
R1872,"fatty-acid--CoA ligase (octadecadienoate), peroxisome",has_GPR,6,C_pe,YALI1E19172g,"MNXM1094981,MNXM3,MNXM100135,MNXM728294,MNXM11,MNXM1104352","—,atp,—,amp,ppi,ocdccoa"
R1873,peroxisomal acyl-CoA thioesterase (18:2),has_GPR,4,C_pe,YALI1F19697g,"WATER,MNXM1104352,MNXM1094981,MNXM100135","h2o,ocdccoa,—,—"
R1876,octadecenoate (n-C18:1) transport,transport,2,"C_cy,C_ex",,"MNXM100135,MNXM100135","—,—"
R1877,"octadecenoate (n-C18:1) transport, cytoplasm-peroxisome",transport,2,"C_cy,C_pe",YALI1C05386g,"MNXM100135,MNXM100135","—,—"
R1881,dodecane transport e--c,transport,2,"C_cy,C_ex",YALI1B03910g or YALI1C28310g,"MNXM724619,MNXM724619","—,—"
R1888,octadecenoate (n-C18:1) transport,transport,2,"C_cy,C_lp",,"MNXM100135,MNXM100135","—,—"
R1889,NADH dehydrogenase (complex I),transport,6,"C_cy,C_mi",,"MNXM1,MNXM10,MNXM1371360,MNXM1,MNXM64096,MNXM5319","h,nadh,—,h,—,q6h2"
R1898,fatty-acid--CoA ligase (butyrate),has_GPR,6,C_pe,YALI1E19172g,"MNXM1094981,MNXM3,—,MNXM728294,MNXM11,MNXM1092625","—,atp,—,amp,ppi,butcoa"
R1904,nucleotidase (NMN),has_GPR,5,C_cy,YALI1A07887g or YALI1C27229g,"WATER,—,MNXM1,MNXM9,MNXM1101283","h2o,—,h,pi,rnam"
R1905,nucleotidase (nicotinate D-ribonucleotide),has_GPR,4,C_cy,YALI1A07887g or YALI1C27229g,"WATER,MNXM1511369,MNXM9,—","h2o,—,pi,—"
R1906,nicotinate riboside kinase,has_GPR,5,C_cy,YALI1B19348g,"MNXM3,—,MNXM1,MNXM40333,MNXM1511369","atp,—,h,adp,—"
R1961,erythrose kinase,no_GPR,4,C_cy,,"MNXM258,MNXM40333,MNXM3,MNXM737003","e4p,adp,atp,—"
R1962,erythrose reductase,no_GPR,5,C_cy,,"MNXM1,MNXM10,MNXM737003,MNXM64096,MNXM1371602","h,nadh,—,—,—"
R1971,3-methylbutanoyl-CoA dehydrogenase;,has_GPR,4,C_mi,YALI0D12573g,"MNXM1364149,MNXM1363975,MNXM1105762,MNXM1363972","fad,ivcoa,fadh2,—"
R1972,3-methylcrotonyl-CoA carboxylase,has_GPR,7,C_mi,YALI1B19217g,"MNXM3,MNXM1094693,MNXM1363972,MNXM1,MNXM9,MNXM40333,MNXM1364679","atp,h2co3,—,h,pi,adp,—"
