metabolite_id,name,formula,is_lipid,n_reactions_solved,source_reactions
m1676[C_cy],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,1,R1745
m1646[C_en],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,1,R1754
m1669[C_cy],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,1,R1779
m1672[C_nu],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,1,R1781
m1684[C_em],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,1,R1811
m1645[C_en],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H85O16P2,yes,1,R1748
m1680[C_cy],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H85O16P2,yes,1,R1780
m1681[C_em],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H85O16P2,yes,1,R1810
m1682[C_gm],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H84O16P2,yes,1,R1837
m1718[C_nu],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H84O16P2,yes,1,R1838
m1643[C_vm],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H86O16P2,yes,1,R1716
m1972[C_cy],2-Methylprop-2-enoyl-CoA,C25H40N7O17P3S,yes,1,R2116
m1653[C_mm],3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate_,C42H80O13P2,yes,1,R1836
m1990[C_cy],3-hydroxypropionyl-coA,C24H39N7O18P3S,yes,1,R2140
m1567[C_pe],3-oxo-cis-dodec-5-enoyl-CoA_,C33H50N7O18P3S,yes,1,R1542
m1569[C_pe],3-oxo-cis-hexadec-7-enoyl-CoA_,C37H60N7O18P3S,yes,1,R1532
m1565[C_pe],3-oxo-cis-hexadec-9-enoyl-CoA_,C37H61N7O18P3S,yes,1,R1528
m1568[C_pe],3-oxo-cis-octadec-9-enoyl-CoA_,C39H65N7O18P3S,yes,1,R1531
m1570[C_pe],3-oxo-cis-tetradec-5-enoyl-CoA_,C35H58N7O18P3S,yes,1,R1545
m1566[C_pe],3-oxo-cis-tetradec-7-enoyl-CoA_,C35H56N7O18P3S,yes,1,R1529
m1809[C_cy],5-oxoproline_,C5H7NO3,yes,1,R1932
m1984[C_er],Acyl-coA,C23H38N7O17P3S,yes,1,R2135
m379[C_em],CDP-diacylglycerol_,C48H86N3O15P2,yes,1,R196
m384[C_mm],CDP-diacylglycerol_,C48H86N3O15P2,yes,1,R197
m1980[C_cy],Ceramide-1 (Sphinganine:n-C24:0),C42H85NO3,yes,1,R2127
m1979[C_cy],Ceramide-1 (Sphinganine:n-C26:0),C44H89NO3,yes,1,R2124
m1982[C_cy],Ceramide-2 (Phytosphingosine:n-C24:0),C42H85NO4,yes,1,R2131
m1983[C_cy],Ceramide-2 (Phytosphingosine:n-C26:0),C44H88NO4,yes,1,R2132
m2007[C_cy],Ceramide-3 (Phytosphingosine:n-C24:0OH),C42H85NO5,yes,1,R2158
m2008[C_cy],Ceramide-3 (Phytosphingosine:n-C26:0OH),C44H89NO5,yes,1,R2164
m1949[C_cy],D-glycerate,C3H5O4,yes,1,R2079
m1985[C_er],Dihydroceramide,C44H87NO4,yes,1,R2134
m1890[C_cy],Glycerate,C3H4O4,yes,1,R2058
m2048[C_cy],Glyceron phosphate,C3H5O6P,yes,1,R2089
m2028[C_er],Hexadecanoic acid,C2H4O2,yes,1,R2194
m2009[C_cy],Hexadecenoyl-CoA,C37H64N7O17P3S,yes,1,R2166
m1995[C_cy],"Inositol phosphorylceramide, ceramide-1 (24C), yeast-specific",C4190H8483N100O308P,yes,1,R2143
m1996[C_cy],"Inositol phosphorylceramide, ceramide-1 (26C), yeast-specific",C4390H8883N100O308P,yes,1,R2148
m1997[C_cy],"Inositol phosphorylceramide, ceramide-2 (24C), yeast-specific",C4190H8483N100O408P,yes,1,R2151
m1998[C_cy],"Inositol phosphorylceramide, ceramide-2 (26C), yeast-specific",C4390H8783N100O408P,yes,1,R2154
m1999[C_cy],"Inositol phosphorylceramide, ceramide-3 (24C), yeast-specific",C4190H8483N100O508P,yes,1,R2157
m2000[C_cy],"Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific",C4390H8883N100O508P,yes,1,R2161
m1863[C_va],L-glycine,C2H5NO2,yes,1,R2030
m1722[C_cy],N-pantothenoylcysteine_,C12H20N2O6S,yes,1,R1909
m1986[C_er],Phytoceramide,C44H87NO5,yes,1,R2136
m1981[C_cy],Phytosphingosine,C18H39NO3,yes,1,R2130
m1991[C_cy],Propenoyl-coA,C24H37N7O17P3S,yes,1,R2141
m2014[C_er],Triacylglycerol,C57H103O6,yes,1,R2170
m569[C_em],acylglycerone phosphate_,C21H37O7P,yes,1,R350
m572[C_lp],acylglycerone phosphate_,C21H37O7P,yes,1,R351
m1495[C_en],arachidate_,C20H39O2,yes,1,R1460
m1499[C_en],behenate_,C22H44O2,yes,1,R1461
m1505[C_em],behenate_,C22H44O2,yes,1,R1464
m1508[C_lp],behenate_,C22H44O2,yes,1,R1467
m1651[C_mm],cardiolipin,C81H152O17P2,yes,1,R1721
m1571[C_pe],cis-dec-3-enoyl-CoA_,C31H48N7O17P3S,yes,1,R1546
m1535[C_pe],cis-dodec-5-enoyl-CoA_,C33H54N7O17P3S,yes,1,R1541
m1538[C_pe],cis-hexadec-7-enoyl-CoA_,C37H63N7O17P3S,yes,1,R1543
m1540[C_pe],cis-tetradec-5-enoyl-CoA_,C35H58N7O17P3S,yes,1,R1544
m1533[C_pe],cis-tetradec-7-enoyl-CoA_,C35H59N7O17P3S,yes,1,R1540
m1649[C_em],diglyceride,C39H73O5,yes,1,R1720
m1642[C_lp],diglyceride,C39H74O5,yes,1,R1763
m1670[C_cy],diglyceride,C39H73O5,yes,1,R1776
m1673[C_nu],diglyceride,C39H73O5,yes,1,R1782
m1674[C_mm],diglyceride,C39H73O5,yes,1,R1784
m1704[C_gm],diglyceride,C39H73O5,yes,1,R1795
m1703[C_vm],diglyceride,C39H72O5,yes,1,R1774
m1792[C_cy],dodecanol_,C12H26O,yes,1,R1865
m1794[C_cy],hexadecanol_,C16H34O,yes,1,R1867
m1432[C_em],icosanoyl-CoA_,C41H73N7O17P3S,yes,1,R1410
m1519[C_pe],icosanoyl-CoA_,C41H74N7O17P3S,yes,1,R1538
m1518[C_cy],icosanoyl-CoA_,C41H73N7O17P3S,yes,1,R1582
m1498[C_en],icosanoyl-CoA_,C41H73N7O17P3S,yes,1,R1649
m1711[C_go],inositol-P-ceramide A-(C24)_,C48H96NO11P,yes,1,R1829
m1712[C_go],inositol-P-ceramide A-(C26)_,C50H100NO11P,yes,1,R1830
m1707[C_go],inositol-P-ceramide B'-(C24)_,C48H96NO12P,yes,1,R1825
m1708[C_go],inositol-P-ceramide B'-(C26)_,C50H100NO12P,yes,1,R1826
m1713[C_go],inositol-P-ceramide B-(C24)_,C48H96NO12P,yes,1,R1831
m1714[C_go],inositol-P-ceramide B-(C26)_,C50H100NO12P,yes,1,R1832
