gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,metacyc_reaction,in_model,missing_metabolites,equation
YALI1E21128g,1.1.1.1,MNXR130018,,,,no,MNXM1|MNXM1719|MNXM730054|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1719@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM730054@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR195659,,R01781,RXN-14023,no,MNXM1107139|MNXM8,1 MNXM10@MNXD1 + 1 MNXM734590@MNXD1 = 1 MNXM1107139@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR95788,R_ALR2,R02528,RXN0-4281,no,MNXM1|MNXM1744,1 MNXM1744@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM310@MNXD1 + 1 MNXM738702@MNXD1
YALI1E21128g,1.1.1.1,MNXR131487,,,,no,MNXM1|MNXM1364446|MNXM1371657|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1364446@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1371657@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130246,,,,no,MNXM1|MNXM116967|MNXM4768,1 MNXM116967@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM4768@MNXD1 + 1 MNXM738702@MNXD1
YALI1E21128g,1.1.1.1,MNXR130006,,,,no,MNXM1|MNXM35398|MNXM8|MNXM99311,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM35398@MNXD1 = 1 MNXM8@MNXD1 + 1 MNXM99311@MNXD1
YALI1E21128g,1.1.1.1,MNXR133418,,,,no,MNXM1|MNXM36674|MNXM36676|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM36674@MNXD1 = 1 MNXM36676@MNXD1 + 1 MNXM8@MNXD1
YALI1E21128g,1.1.1.1,MNXR130249,,,,no,MNXM1104963|MNXM44971,1 MNXM1104963@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM44971@MNXD1 + 1 MNXM5@MNXD1
YALI1E21128g,1.1.1.1,MNXR132940,,,,no,MNXM1|MNXM6396|MNXM821,1 MNXM1@MNXD1 + 1 MNXM738702@MNXD1 + 1 MNXM821@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM6396@MNXD1
YALI1E21128g,1.1.1.1,MNXR131480,,,,no,MNXM167440|MNXM31006|MNXM8,1 MNXM10@MNXD1 + 1 MNXM31006@MNXD1 = 1 MNXM167440@MNXD1 + 1 MNXM8@MNXD1
